Alabama,$65,663
Alaska,NA
Arizona,$51,408
Arkansas,$57,251
California,$54,432
Colorado,$83,175
Connecticut,$113,557
Delaware,$117,928
District of Columbia,$40,200
Florida,$49,750
Georgia,$45,000
Hawaii,$165,645
Idaho,$59,618
Illinois,$75,665
Indiana,$65,850
Iowa,$90,736
Kansas,$95,412
Kentucky,$55,159
Louisiana,$61,077
Maine,$67,870
Maryland,$165,601
Massachusetts,$143,620
Michigan,$72,020
Minnesota,$128,514
Mississippi,$33,941
Missouri,$76,630
Montana,—
Nebraska,$90,516
Nevada,—
New Hampshire,$122,823
New Jersey,$133,303
New Mexico,—
New York,$57,654
North Carolina,$61,842
North Dakota,$75,520
Ohio,$63,002
Oklahoma,$50,843
Oregon,$89,549
Pennsylvania,$93,000
Rhode Island,$124,025
South Carolina,$70,441
South Dakota,$119,939
Tennessee,$66,274
Texas,$44,612
Utah,$103,284
Vermont,—
Virginia,$135,245
Washington,$90,704
West Virginia,$111,158
Wisconsin,$93,496
Wyoming,$109,494
